yi	vi	studyid	taxa	species	setting
-0.1648	0.1056	1	Primates	Papio_cynocephalus	wild
-0.4023	0.1074	1	Primates	Papio_cynocephalus	wild
-0.154	0.3677	12	Primates	Cercopithecus_mitis_albogularis	provisioned
1.1407	0.4258	12	Primates	Cercopithecus_mitis_albogularis	provisioned
-1.6166	0.485458	12	Primates	Cercopithecus_mitis_albogularis	provisioned
0.2594	0.3697	12	Primates	Cercopithecus_mitis_albogularis	provisioned
-0.8525	0.3997	12	Primates	Cercopithecus_mitis_albogularis	provisioned
-2.4929	1.0153	12	Primates	Cercopithecus_mitis_albogularis	provisioned
1.0943	0.4599	12	Primates	Cercopithecus_mitis_albogularis	provisioned
0	0.0001	2	Perissodactyla	Equus_quagga	wild
-0.6028	0.0629	2	Perissodactyla	Equus_quagga	wild
-0.525	0.0623	2	Perissodactyla	Equus_quagga	wild
-0.4567	0.0618	2	Perissodactyla	Equus_quagga	wild
-0.158	0.0605	2	Perissodactyla	Equus_quagga	wild
-0.1742	0.0605	2	Perissodactyla	Equus_quagga	wild
-0.1697	0.0605	2	Perissodactyla	Equus_quagga	wild
-0.194	0.0606	2	Perissodactyla	Equus_quagga	wild
0.7567	0.149296	3	Primates	Papio_cynocephalus	wild
1.295	0.3722	4	Primates	Macaca_fuscata_yakui	provisioned
0.2987	0.3111	4	Primates	Macaca_fuscata_yakui	provisioned
2.4423	0.353686	5	Primates	Macaca_fuscata_yakui	provisioned
0.5154	0.344402	5	Primates	Macaca_fuscata_yakui	provisioned
1.5802	0.437377	5	Primates	Macaca_fuscata_yakui	provisioned
1.5146	0.514706	6	Primates	Papio_cynocephalus	wild
1.8831	0.577298	6	Primates	Papio_cynocephalus	wild
0.0617	0.0635	7	Primates	Papio_anubis	wild
0.0436	0.0635	7	Primates	Papio_anubis	wild
-1.7747	0.729513	8	Primates	Papio_anubis	wild
0.3822	0.430615	8	Primates	Papio_anubis	wild
0.8347	0.3914	8	Primates	Papio_anubis	wild
0	0.729513	8	Primates	Papio_anubis	wild
0	0.455945	8	Primates	Papio_anubis	wild
0.3822	0.430615	8	Primates	Papio_anubis	wild
-0.4588	0.3509	8	Primates	Papio_anubis	wild
0.3822	0.430615	8	Primates	Papio_anubis	wild
0.5052	0.592729	8	Primates	Papio_anubis	wild
-0.4446	0.3726	9	Primates	Mandrillus_sphinx	provisioned
-0.3367	0.3688	9	Primates	Mandrillus_sphinx	provisioned
0.3179	0.3682	9	Primates	Mandrillus_sphinx	provisioned
-0.366	0.3697	9	Primates	Mandrillus_sphinx	provisioned
0.3534	0.3693	9	Primates	Mandrillus_sphinx	provisioned
0.523	0.3761	9	Primates	Mandrillus_sphinx	provisioned
0.6685	0.3839	9	Primates	Mandrillus_sphinx	provisioned
-0.2091	0.3656	9	Primates	Mandrillus_sphinx	provisioned
1.5733	0.127502	10	Carnivora	Suricata_suricatta	wild
0.7283	0.370324	10	Carnivora	Suricata_suricatta	wild
0.6391	0.130997	10	Carnivora	Suricata_suricatta	wild
1.2498	0.166401	10	Carnivora	Suricata_suricatta	wild
1.0296	0.184955	10	Carnivora	Suricata_suricatta	wild
0.6629	0.166401	10	Carnivora	Suricata_suricatta	wild
0.3819	0.236382	10	Carnivora	Suricata_suricatta	wild
0.7	0.1743	13	Carnivora	Suricata_suricatta	wild
0.5388	0.1712	13	Carnivora	Suricata_suricatta	wild
0.3387	0.1685	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0	0.0001	13	Carnivora	Suricata_suricatta	wild
0.0898	0.1668	13	Carnivora	Suricata_suricatta	wild
0.6545	0.1734	13	Carnivora	Suricata_suricatta	wild
0	0.1667	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
0.585	0.172	13	Carnivora	Suricata_suricatta	wild
